day,ticker,rk,nbar,open0,g40,g45,g50,g00,pos40,pos50,pos00,traj,g_early,g_late,accel,vwap_dist,mins_since_hi,dd_from_hi,pullbacks,diff45,diff00,widen,dvol_acc,fwd,hit,fade,last_tod,nwbars,_b,_dd
2025-07-02,SONN,2,298,1.98,,,,0.1111111111111111,,,2.0,new,,,,0.0466979867549517,2,-0.043478260869565,1,,-0.0481948825797404,,,0.8909090909090909,1,0,1199,8,,2-5%
2025-07-02,NAMM,3,281,9.61,0.012486992715921,0.0270551508844953,0.0541103017689907,0.0853277835587928,26.0,7.0,3.0,rising,0.0270551508844953,0.0567375886524823,0.0296824377679869,0.021956376000098,6,-0.0206572769953051,0,-0.0352451686043226,-0.0739782101320587,-0.038733041527736,2.1069814910884785,0.0460210930009588,1,0,1199,28,T1-lo,2-5%
2025-07-02,TOI,4,246,2.325,0.0473118279569892,0.0451612903225806,0.0494623655913977,0.075268817204301,6.0,9.0,4.0,stable,0.0451612903225806,0.0288065843621398,-0.0163547059604407,0.0330313882586019,0,-0.0019960079840318,0,-0.0171390291662374,-0.0840371764865506,-0.0668981473203131,-0.618641782687998,-0.022,0,1,1199,27,T2-mid,0-2%
2025-07-02,IPDN,5,104,2.83,0.0459363957597172,0.0459363957597172,0.0742049469964665,0.068904593639576,7.0,1.0,5.0,stable,0.0459363957597172,0.0219594594594594,-0.0239769363002577,0.008741211794941,1,-0.0241935483870968,1,-0.0163639237291008,-0.0904014000512756,-0.0740374763221747,-0.069810988656466,-0.1239669421487603,0,1,1199,21,T2-mid,2-5%
2025-07-30,RCON,1,233,2.62,0.0992366412213738,0.1412213740458014,0.0763358778625953,0.1526717557251908,1.0,2.0,1.0,stable,0.1412213740458014,0.0100334448160535,-0.1311879292297479,-0.0142175506949847,8,-0.1220930232558139,1,0.0718631959919713,0.0514288178720836,-0.0204343781198876,0.6923584142132795,-0.1092715231788079,0,1,1199,31,T3-hi,10%+
2025-07-30,NEGG,2,211,44.25,0.0225988700564971,0.0169491525423728,0.0368361581920904,0.1012429378531072,13.0,9.0,2.0,rising,0.0169491525423728,0.0828888888888887,0.0659397363465159,0.058067221146169,0,0.0,0,-0.1242722215034286,-0.0514288178720836,0.072843403631345,0.0867993474434711,-0.0781859224297146,0,1,1199,24,T1-lo,0-2%
2025-07-30,MCVT,3,151,6.185,0.042037186742118,0.0315278900565885,0.0185933710590138,0.0767987065481003,3.0,29.0,3.0,stable,0.0315278900565885,0.0438871473354232,0.0123592572788346,0.0263985276523512,0,-0.0059701492537312,0,-0.1096934839892129,-0.0758730491770904,0.0338204348121224,2.900225893086734,-0.0675675675675675,0,1,1199,16,T1-lo,0-2%
2025-07-30,VAPE,4,138,38.69,0.033858878263117,0.0160248126130784,0.0491082967174982,0.0739209097958129,5.0,4.0,4.0,stable,0.0160248126130784,0.0569829559908419,0.0409581433777634,0.0439853361365514,1,0.0,4,-0.125196561432723,-0.0787508459293779,0.046445715503345,0.1889243912171339,-0.1523465703971118,0,1,1199,21,T1-lo,0-2%
2025-07-30,ALMU,5,146,22.42,0.0142729705619981,0.0142729705619981,0.0347903657448704,0.070472792149866,21.0,12.0,5.0,rising,0.0142729705619981,0.0554089709762533,0.0411360004142551,0.0145823487317151,2,0.0,0,-0.1269484034838033,-0.0821989635753248,0.0447494399084784,47.26125329409641,-0.0070833333333334,0,1,1199,11,T1-lo,0-2%
2025-08-04,VERB,1,322,16.02,0.1997503121098627,0.1310861423220974,0.1260923845193509,0.2946317103620472,1.0,2.0,1.0,stable,0.1310861423220974,0.1445916114790286,0.0135054691569311,0.0986162084074715,0,-0.0262910798122066,2,-0.0227600115240562,0.0565158935945451,0.0792759051186013,0.1851488464375867,-0.0178399228543875,0,1,1199,27,T3-hi,2-5%
